code,name,address,location,lon,lat
ALLB,ALLBRITTON CENTER,222 Church Street,"222 Church Street, Middletown, CT",-72.6561,41.553989
ANTH,ANTHROPOLOGY DEPARTMENT,281 High Street,"281 High Street, Middletown, CT",-72.655266,41.557833
ASN,ART STUDIO NORTH,289 Washington Terrace,"289 Washington Terrace, Middletown, CT",-72.658023,41.559495
ARTS,ART STUDIO SOUTH,293 Washington Terrace,"293 Washington Terrace, Middletown, CT",-72.658023,41.559495
AWKS,ART WORKSHOPS,285 Washington Terrace,"285 Washington Terrace, Middletown, CT",-72.658023,41.559495
BOGH,BOGER HALL,41 Wyllys Avenue,"41 Wyllys Avenue, Middletown, CT",-72.657275,41.557093
CAAS,CNTR - AFRICAN AMERICAN STUDIES,343 High Street,"343 High Street, Middletown, CT",-72.655622,41.559408
CAMS,CNTR - THE AMERICAS,255 High Street,"255 High Street, Middletown, CT",-72.655073,41.557057
CDS,CROSS ST DANCE STUDIO,160 Cross Street,"160 Cross Street, Middletown, CT",-72.661991,41.551881
CFA HALL,CENTER FOR THE ARTS HALL,287 Washington Terrace,"287 Washington Terrace, Middletown, CT",-72.658023,41.559495
CFH,CNTR - THE HUMANITIES,95 Pearl Street,"95 Pearl Street, Middletown, CT",-72.654151,41.560948
CFS,CNTR - FILM STUDIES,301 Washington Terrace,"301 Washington Terrace, Middletown, CT",-72.658023,41.559495
CHPL,CHAPEL,169 High Street,"169 High Street, Middletown, CT",-72.654202,41.553944
CRT,285 COURT STREET,285 Court St,"285 Court St, Middletown, CT",-72.654639,41.558636
CROL,CROWELL CONCERT HALL,50 Wyllys Avenue,"50 Wyllys Avenue, Middletown, CT",-72.656835,41.557216
DAC,DAVISON ART CNTR,301 High Street,"301 High Street, Middletown, CT",-72.655337,41.558396
DDS,DIGITAL DESIGN STUDIO (in DAC),301 High Street,"301 High Street, Middletown, CT",-72.655337,41.558396
DHHC,DAVISON HOUSE HEALTH CNTR,327 High Street,"327 High Street, Middletown, CT",-72.655513,41.558999
DWNY,DOWNEY HOUSE,294 High Street,"294 High Street, Middletown, CT",-72.655202,41.558259
FAC,FREEMAN ATHLETIC CNTER,161 Cross Street,"161 Cross Street, Middletown, CT",-72.662057,41.551842
FAYRW,FAYERWEATHER,55 Wyllys Avenue,"55 Wyllys Avenue, Middletown, CT",-72.65671,41.557282
FEAS,FREEMAN EAST ASIAN STUDIES CNTR,343 Washington Terrace,"343 Washington Terrace, Middletown, CT",-72.659902,41.558783
FISK,FISK HALL,262 High Street,"262 High Street, Middletown, CT",-72.654981,41.557385
HALL,HALL-ATWATER LABORATORIES,52 Lawn Avenue,"52 Lawn Avenue, Middletown, CT",-72.655654,41.552951
JUDD,JUDD HALL,207 High Street,"207 High Street, Middletown, CT",-72.654752,41.555733
MST,MUSIC STUDIOS,297 Washington Terrace,"297 Washington Terrace, Middletown, CT",-72.658023,41.559495
OLIN,OLIN LIBRARY,252 Church Street,"252 Church Street, Middletown, CT",-72.656864,41.553902
PAC,PUBLIC AFFAIRS CNTR,238 Church Street,"238 Church Street, Middletown, CT",-72.656543,41.553942
RBR,"RARE BOOK ROOM, OLIN",252 Church Street,"252 Church Street, Middletown, CT",-72.656864,41.553902
RHH,REHEARSAL HALL,60 Wyllys Avenue,"60 Wyllys Avenue, Middletown, CT",-72.656585,41.557348
RSC,RELIGIOUS STUDIES CNTR,171 Church Street,"171 Church Street, Middletown, CT",-72.655562,41.553902
RLAN,ROMANCE LANGUAGES,300 High Street,"300 High Street, Middletown, CT",-72.655337,41.558396
RUSL/RUSSMILLET,RUSSELL HOUSE/Millet Room,350 High Street,"350 High Street, Middletown, CT",-72.65551,41.559639
SCIE,EXLEY SCIENCE CNTR,265 Church Street,"265 Church Street, Middletown, CT",-72.657585,41.553688
SCLI,SCIENCE LIBRARY,265 Church Street,"265 Church Street, Middletown, CT",-72.657585,41.553688
SDC,SCHONBERG DANCE STUDIO,247 Pine Street,"247 Pine Street, Middletown, CT",-72.658656,41.550584
SHAN,SHANKLIN,237 Church St,"237 Church St, Middletown, CT",-72.65652,41.553945
THEA,THEATER,271 Washington Terrace,"271 Washington Terrace, Middletown, CT",-72.658023,41.559495
TST,THEATER STUDIOS,271 Washington Terrace,"271 Washington Terrace, Middletown, CT",-72.658023,41.559495
USDAN,USDAN UNIVERSITY CNTR,45 Wyllys Avenue,"45 Wyllys Avenue, Middletown, CT",-72.657177,41.557148
VVO,VAN VLECK OBSERVATORY,96 Foss Hill,"96 Foss Hill, Middletown, CT",-72.660146,41.55654
WMH,WORLD MUSIC HALL,40 Wyllys Avenue,"40 Wyllys Avenue, Middletown, CT",-72.6573,41.557079
ZLKA,ZILKHA GALLERY,283 Washington Terrace,"283 Washington Terrace, Middletown, CT",-72.658023,41.559495
284 HIGH,COLLEGE OF THE ENVIRONMENT,284 High Street,"284 High Street, Middletown, CT",-72.65529,41.557915
116 MTV,SHAPIRO CENTER FOR WRITING,116 Mount Vernon Street,"116 Mount Vernon Street, Middletown, CT",-72.659002,41.557155
92TH,92 THEATER,207 High St,"207 High St, Middletown, CT",-72.654752,41.555733
