instructor,time,location,maxcap,srmajor,jrmajor,available,grad,srnon,jrnon,so,fr,ispoi,section,code,sem,division,gradingmode,prereq,fulfills,title,iscross,description
"Aissa,Abderrahman",.MTWRF. 08:50AM-09:40AM;,FISK312;,18,0,0,4,NA,0,0,9,9,FALSE,01,ARAB101,Fall2016,HA LANG,Graded,None,None,Elementary Arabic I,FALSE,"This course is a first-year elementary I course in modern standard Arabic (MSA) that will introduce students to the basic skills of reading, writing, speaking, and listening. In this level, the class will focus on speaking as an effective way of learning (speak it to learn it). Students will learn Arabic letters and their sounds, write and create basic words and sentences, and be able to converse basic dialogues comfortably in the target language. Oral drills and speaking activities will be done in the classroom, and the class will be conducted primarily in Arabic."
"Aissa,Abderrahman",.MTWR.. 10:50AM-11:40AM;,FISK410;,18,0,0,8,NA,5,4,6,3,FALSE,01,ARAB201,Fall2016,HA LANG,Graded,ARAB101 AND ARAB102,None,Intermediate Arabic I,FALSE,"This course is a second-year, lower intermediate course in modern standard Arabic (MSA) that will continue to focus on the four basic skills of reading, writing, speaking, and listening. In this level, students will be able to speak enough Arabic to communicate at a basic level with a native speaker on a variety of topics. Students should be able to write simple texts on everyday themes and read uncomplicated authentic texts, such as a newspaper article on a familiar topic and storybooks. Students will continue to be familiarized with aspects of contemporary life and culture in the Arab world. Oral drills and speaking activities will be done in the classroom, and the class will be conducted primarily in Arabic."
"Aissa,Abderrahman",.M.W.F. 12:20PM-01:10PM;,FISK410;,15,0,0,9,NA,6,6,3,0,FALSE,01,ARAB301,Fall2016,HA LANG,Graded,None,None,Advanced Arabic I,FALSE,"This first semester of third-year Arabic will continue to emphasize the four skills in language learning. In addition to the Kalila Wa Dimna fables, students will also read children's stories, literature, and media articles from the Arab world."
"Aissa,Abderrahman",.MTWRF. 08:50AM-09:40AM;,ALLB004;,18,0,0,6,NA,0,0,9,9,FALSE,01,ARAB102,Spring2017,HA LANG,Graded,ARAB101,None,Elementary Arabic II,FALSE,"This course is a second-semester course in modern standard Arabic (MSA) that will continue to stress the basic skills of reading, writing, speaking, and listening. The course will focus on speaking as an effective way of learning (speak it to learn it). Students will continue to learn MSA grammar, write and create paragraphs, and begin to converse comfortably in the target language. Students are expected to develop better listening, speaking, reading, and writing skills in Arabic and to become familiar with Arabic culture. Oral drills and speaking activities will be done in the classroom, and the class will be conducted primarily in Arabic."
"Aissa,Abderrahman",.MTWR.. 10:50AM-11:40AM;,FISK121;,18,0,0,10,NA,0,6,10,2,FALSE,01,ARAB202,Spring2017,HA LANG,Graded,ARAB101 AND (ARAB102 OR ARAB201),(ARHA),Intermediate Arabic II,FALSE,"This course is a second-year, upper intermediate course in modern standard Arabic (MSA) that will continue to focus on the four basic skills of reading, writing, speaking, and listening. In this level, students will be able to speak Arabic comfortably enough to communicate with a native speaker on a variety of topics. Students should be able to write simple texts on everyday themes and read uncomplicated authentic texts on familiar or concrete topics, as well as newspaper articles and storybooks. Culture will continue to be integrated in the classroom.The class will be conducted primarily in Arabic."
"Katz,Melissa R.",.M.W... 02:50PM-04:10PM;,FISK314;,15,NA,NA,1,NA,NA,NA,NA,15,FALSE,01,ARHA135,Fall2016,HA ART,Student Option,None,(ARHA-MN),Medicine and Art: Viewing the Medieval Body,FALSE,"How did artists understand the body in the later Middle Ages, and how did this help to shape medical, spiritual, and philosophical views of what it meant to be human? What role did art play in the dissemination of scientific knowledge and religious thought, and were these views necessarily in conflict? This course will explore pre-modern depictions of the human body in works of art, scientific treatises, and visual ephemera produced and circulated in pre-modern period (1150-1550). Topics to be addressed include the visual culture of life, death, and the afterlife; abnormal bodies: saints and monsters; the role of art in illness and healing; and medieval robotics and artificial bodies. Case studies will be drawn from European and Islamic works of art."
"Kuenzli,Katherine M.",.M.W... 10:50AM-12:10PM;,BOGH113;,19,NA,NA,2,NA,NA,NA,NA,19,FALSE,01,ARHA140,Fall2016,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARST),Van Gogh and the Myth of Genius,FALSE,"This seminar will investigate in-depth the career of this immensely popular and influential artist. Van Gogh has been the subject of much myth-making--both in his time and today--in which he appears as the quintessential mad genius whose passionate and tormented emotions become the stuff of art. We will both investigate the formation of this myth and view it critically, balancing it against the artist's own account of his career in his paintings and prodigious correspondence. Van Gogh's extensive, insightful, and fascinating writing begs the question of how one should treat an artist's statements when interpreting his works. We will also examine the role of biography in art. Finally, rather than viewing the artist as an isolated creator, we will situate his work within the artistic landscape of late 19th-century Europe, and especially France, where he spent his most productive years as an artist, 1886-1890."
"Grace,Claire",..T.R.. 10:20AM-11:40AM;,BOGH113;,19,0,5,0,NA,0,0,7,7,FALSE,01,ARHA170,Fall2016,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARST),Postmodernism and the Long 1980s,TRUE,"This introductory immersion in the practice of art history offers an opportunity to gain expertise in visual analysis and historical interpretation through a guided investigation of art and critical theory in the United States during the 1980s. The central debates of this tumultuous decade--still very much with us today--brought the contested paradigm of postmodernism to a fever pitch. Two key exhibitions provide bookends: in Pictures (1977), techniques of appropriation diagnosed a new kind of slippage between reality and representation; in 1993's Whitney Biennial, the period's sustained engagement with gender, sexuality, race, and the relationship between art and politics achieved decisive (and controversial) visibility. Between these poles, artists turned to the street, navigated the ""ends"" of painting, and invented new forms to confront an increasingly image-soaked media-public sphere. The course attends to the strategies of photoconceptualism, painting, sculpture, video, and site-specificity by which artists intervened in a polarizing historical moment that saw the expansion of neoliberal economics and political conservatism, a sharpened divide between rich and poor, the AIDS crisis, and the geopolitical realignments of the late-Cold War."
"Wagoner,Phillip B.",.M.W.F. 09:50AM-10:40AM;,BOGH113;,15,NA,NA,9,NA,NA,NA,NA,15,FALSE,01,ARHA181,Fall2016,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARST),Mughal India: Introduction to the Practice of Art History,FALSE,"Founded in northern India in the early 1500s, the Mughal empire was one of the largest centralized states in the history of the premodern world. During the two centuries of their effective rule over most of the Indian subcontinent, the Mughal emperors and their subordinates were prolific patrons of the arts, overseeing the production of lavishly illustrated books and picture albums and commissioning such architectural masterpieces as the Taj Mahal. This course offers an introduction not only to the art and culture of Mughal India, but also to the practice of art history itself, through a sequence of six thematic units exploring and applying different methods that are central to the discipline. Each unit begins with critical reading and discussion of one or two key theoretical or methodological statements, then continues through application to case studies drawn from Mughal India. The units include (1) techniques of visual description and formal analysis, (2) the concept of style and stylistic analysis, (3) the analysis of meaning in visual images (iconography and iconology), (4) models of time and the historical explanation of change, (5) architectural and historical analysis of buildings and their sites, and (6) historiographic assessment of debates and changing interpretations within art history. Each unit culminates in a writing exercise designed to provide students with structured experience in some of the various modes of art historical writing. The course is appropriate as an introduction both to art history and to Mughal art."
"Birney,Kate",..T.R.. 02:50PM-04:10PM;,FISK302;,40,3,4,6,NA,6,7,10,10,FALSE,01,CCIV214,Fall2016,HA CLAS,Graded,None,(ARCP-MN)(ARCP)(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST)(CCIV)(CLAS),Survey of Greek Archaeology,TRUE,"This course introduces the art and archaeology of Greek civilization from Mycenaean palaces of the Bronze Age, to tombs of warriors and battlefields of Marathon, through the theatrical and political centers of democratic Athens. Throughout the semester we'll survey the major archaeological sites (civic and cultic) for each period, study development of sculpture, painting, ceramics, and architectural trends in light of political (propaganda!) and social changes. More than a tour of monuments and mosaics, however, this course will show students how to interpret and apply literature, material science, anthropology, and art history to address archaeological questions, and to consider the relationship (ancient and modern) between social trends and material evidence."
