instructor,time,location,maxcap,srmajor,jrmajor,available,grad,srnon,jrnon,so,fr,ispoi,code,sem,title,iscross
"Aissa,Abderrahman",.MTWRF. 08:50AM-09:40AM;,TBA,18,0,0,18,NA,0,0,9,9,FALSE,ARAB101,Fall2018,Elementary Arabic I,FALSE
"Aissa,Abderrahman",.MTWR.. 10:50AM-11:40AM;,TBA,18,0,0,18,NA,5,4,6,3,FALSE,ARAB201,Fall2018,Intermediate Arabic I,FALSE
"Aissa,Abderrahman",.M.W.F. 11:50AM-12:40PM;,TBA,15,0,0,15,NA,6,6,3,0,FALSE,ARAB301,Fall2018,Advanced Arabic I,FALSE
"Aissa,Abderrahman",.MTWRF. 08:50AM-09:40AM;,TBA,18,0,0,18,NA,0,0,9,9,FALSE,ARAB102,Spring2019,Elementary Arabic II,FALSE
"Aissa,Abderrahman",.MTWR.. 11:50AM-12:40PM;,TBA,18,0,0,18,NA,0,6,10,2,FALSE,ARAB202,Spring2019,Intermediate Arabic II,FALSE
"Aksamija,Nadja",..T.R.. 10:20AM-11:40AM;,TBA,25,2,2,25,NA,2,2,7,10,FALSE,ARHA127,Fall2018,Venice and the Renaissance,FALSE
"Siry,Joseph M.",.M.W... 01:20PM-02:40PM;,TBA,60,5,5,60,NA,5,5,20,20,FALSE,ARHA151,Fall2018,European Architecture to 1750,TRUE
"Katz,Melissa R.",..T.R.. 02:50PM-04:10PM;,TBA,25,3,3,25,NA,3,3,7,6,FALSE,ARHA211,Fall2018,"Early Medieval Art: Judaism, Christianity, and Islam in the Mediterranean, 300--1200",TRUE
"Aksamija,Nadja",..T.R.. 01:20PM-02:40PM;,TBA,30,4,4,30,NA,3,3,8,8,FALSE,ARHA233,Fall2018,Art and Culture of the Italian Baroque,FALSE
"Kuenzli,Katherine M.",.M.W... 02:50PM-04:10PM;,TBA,30,4,4,30,NA,5,5,6,6,FALSE,ARHA240,Fall2018,Modernism and Modernity in 19th-Century French Painting,TRUE
